Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
アマダー,Eagles,6000,内野手,3,193,135,不明,右,右,メキシコ,1987-01-19,49,0.269,62,234,212,57,20,42,1,22,0,57,0,8,0.338,0.58,0.918,6.4,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
耀飛,Eagles,700,外野手,1,180,96,A型,右,右,大阪,1996-03-05,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
フェルナンド,Eagles,700,外野手,4,175,79,O型,右,右,ブラジル,1992-04-13,51,0.188,11,16,16,3,0,0,0,0,0,5,0,0,0.188,0.188,0.375,0.46,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
森原　康平,Eagles,1600,投手,2,185,88,AB型,右,左,広島,1991-12-26,52,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,1,2,0,1,0.333,73,17,18,1,3,0,19,11,11,1.24,2
高梨　雄平,Eagles,3000,投手,2,175,81,O型,左,左,埼玉,1992-07-13,53,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,1,4,1,16,0.2,212,48,38,1,23,6,53,21,13,1.27,2.75
ペゲーロ,Eagles,20000,外野手,3,192,119,不明,左,左,ドミニカ共和国,1987-02-22,54,0.233,88,348,309,72,17,44,1,36,2,120,0,8,0.316,0.427,0.743,4.49,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
横山　貴明,Eagles,590,投手,5,180,79,A型,右,右,福島,1991-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ディクソン,Eagles,3400,外野手,1,180,100,不明,右,右,アメリカ,1990-02-09,55,0.175,22,60,57,10,1,3,0,1,2,20,0,0,0.217,0.228,0.445,1.02,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
寺岡　寛治,Eagles,600,投手,1,180,89,B型,右,右,福岡,1992-12-03,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
八百板　卓丸,Eagles,440,外野手,4,180,76,O型,右,左,福島,1997-01-17,57,0.184,27,45,38,7,0,0,1,4,1,12,2,1,0.279,0.211,0.49,1.49,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
辛島　航,Eagles,4200,投手,10,173,72,A型,左,左,福岡,1990-10-18,58,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,4,9,1,0,0.308,508,117.2,120,12,46,7,99,55,53,1.41,4.09
菊池　保則,Eagles,1200,投手,11,180,80,O型,右,左,茨城,1989-09-18,59,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0,0,0,0,0,55,13,11,1,4,1,15,2,2,1.15,2.97
古川　侑利,Eagles,750,投手,5,178,78,AB型,右,右,佐賀,1995-09-08,60,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,4,9,0,0,0.308,419,98,93,11,46,1,77,46,45,1.42,4.42
